"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
5774,121084,67015.6640625,0.553464240217535,120587,65181.4296875,0.540534466298191
5911,138158,77490.7109375,0.560884718492595,138072,78843.609375,0.571032572679472
5913,250089,142891.140625,0.571361157927778,249432,144844.953125,0.580699160993778
5914,71213,37819.55859375,0.531076609520031,70449,36763.4140625,0.521844370573039
5915,61032,32616.41015625,0.534414899663291,60128,30919.787109375,0.514232755278323
5916,47229,25061.01171875,0.530627616903809,46208,23368.966796875,0.505734219115196
5954,109921,57860.98828125,0.526387025966376,109075,56387.40625,0.516959947283979
5958,107958,56637.19921875,0.52462253115795,107588,54323.91796875,0.504925437490705
5962,163235,85069.4296875,0.521146994746837,160840,81435.96875,0.506316642315344
5966,60122,30569.810546875,0.508462967746831,60076,29677.275390625,0.493995528840552
5970,118886,63350.06640625,0.532863973943526,117797,61776.5078125,0.524431927914123
5974,112906,59778.125,0.529450383504862,111717,57673.3515625,0.516245079643206
5978,134151,71458.5546875,0.53267254576932,133960,68675.1796875,0.512654372107345
6411,105999,65758.7421875,0.620371344894763,105666,69466.1875,0.65741286222626
6412,609007,375289.0625,0.616231114749092,608012,394803.96875,0.649335816974007
6413,48126,27319.173828125,0.56765934896158,47467,27136.3203125,0.571688126751217
6414,138937,84555.34375,0.608587660234495,138470,87238.40625,0.63001665523218
6431,76670,41453.22265625,0.540670701137994,76606,40641.45703125,0.53052576862452
6432,77681,41808.6875,0.538209954815206,76947,40827.3125,0.530590048994763
6433,101423,54421.11328125,0.536575661154275,101423,55126.0390625,0.543526015425495
6434,97808,60353.9375,0.61706544965647,97650,63113.578125,0.646324404761905
6435,139001,74059.5625,0.532798774828958,137711,72646.03125,0.527525261235486
6436,103108,65009.58203125,0.630499883920258,102681,68443.4609375,0.666564027789951
6437,27922,14592.8505859375,0.522629130647429,27922,13941.2939453125,0.499294246304437
6438,128583,72872.6875,0.566736563153761,128583,75389.3125,0.586308551674794
6439,45748,25312.3125,0.55329877808866,45753,25349.580078125,0.554052850701047
6440,87295,48255.7734375,0.552789660776677,86695,47257.109375,0.545096134436819
6531,100080,55984.91015625,0.559401580298261,99923,55465.609375,0.555083508051199
6532,96070,52046.6796875,0.541757881622775,95904,49839.46875,0.519680813626126
6533,55417,29754.609375,0.536922052348557,54874,28357.81640625,0.516780559212924
6534,93880,50336.8984375,0.536183409006178,93092,48947.12890625,0.525793074660014
6535,32655,17078.822265625,0.523007878291992,31590,16311.1748046875,0.51633981654598
6611,113687,64670.84765625,0.56884997982399,112901,65560.109375,0.580686702287845
6631,95294,51250.4453125,0.537813978975591,94837,50256.29296875,0.52992284623881
6632,49964,25124.876953125,0.502859597973041,49391,23613.41796875,0.478091514015711
6633,75773,40103.65625,0.52926050506117,75774,37177.88671875,0.490641733559664
6634,56471,30660.408203125,0.542940769653893,56289,29056.65234375,0.516204806334275
6635,64449,32853.2109375,0.509755169785412,63373,31254.61328125,0.493185004359112
6636,28705,15065.654296875,0.524844253505487,28143,14081.2431640625,0.500346202041804
7111,76183,44693.359375,0.586657907604059,76181,45321.2578125,0.59491550140455
7131,35371,18841.951171875,0.532694896154336,35371,18446.203125,0.5215064070849
7132,38804,20361.861328125,0.524736143905912,38710,19456.751953125,0.502628570217644
7133,53817,28940.8828125,0.537764699119237,52833,27550.349609375,0.521461011287926
7134,27387,14610.68359375,0.533489743080659,27121,13755.390625,0.507185967515947
7135,19957,10095.048828125,0.505839997400661,19955,9525.81640625,0.477364891317965
7137,69836,36510.421875,0.52280230647517,68541,34722.47265625,0.506594194077268
7138,63646,33905.58203125,0.532721334117619,63624,33384.9765625,0.524723006451968
7140,38999,20389.90234375,0.522831414747814,38998,19212.4765625,0.492652868416329
7141,32604,17444.3203125,0.535036201463011,32604,16993.599609375,0.521212109231229
7143,70110,36607.93359375,0.522149958547283,70109,35258.9765625,0.502916552261479
7211,56205,31319.873046875,0.557243537885864,55968,31280.490234375,0.558899553930371
7231,41128,21014.1640625,0.510945440150263,41127,19974.529296875,0.485679220387458
